OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,SHAPE_Length,SHAPE_Area
10272,2005,CA,CDF,HUU,RX-North-042-HUU,FOX CAMP II UNIT A,,2005/10/18 00:00:00+00,2005/10/18 00:00:00+00,4.45,4.4548497,1,,,897.87163885717,31048.4874080432
10273,2005,CA,CDF,HUU,RX-North-042-HUU,FOX CAMP II UNIT B,,2005/10/18 00:00:00+00,2005/10/18 00:00:00+00,4.75,4.7550402,1,,,858.573612747497,33142.3333306547
10274,2004,CA,USF,CNF,0000000000049040,JAPATUL,,2004/02/10 00:00:00+00,,100,99.125641,,,,8485.94225957626,568611.497940089
10275,2004,CA,BLM,CDD,000000000000DC69,BEAUTY RX 2,,2004/10/26 00:00:00+00,2004/10/26 00:00:00+00,25,114.8634,,,,12328.1313142791,669060.648599036
10276,2004,CA,BLM,CDD,000000000000DC72,SUNRISE RX,,2004/11/04 00:00:00+00,2004/11/04 00:00:00+00,86,13.59828,,,,2034.95740988749,78595.1767064368
10277,,CA,CDF,HUU,0000000000000000,FOX CAMP UNIT?,,,,,5.0832877,,,,899.350327821582,35445.025648959
10278,1995,CA,NPS,RWP,0000000000000000,WILLIAMS,,1995/11/01 00:00:00+00,,0,71.941742,,,,4068.1576835878,514135.93613902
10279,1995,CA,NPS,RWP,0000000000000000,SCHOOLHOUSE,,1995/09/19 00:00:00+00,,0,257.17801,,,,6352.91611914296,1837313.75007488
10280,1976,CA,NPS,YNP,000000000000YV22, ,,,,0,44.046543,,,,2251.76195805559,285567.602402805
10281,1976,CA,NPS,YNP,000000000000YV21, ,,,,0,64.240913,,,,3245.85985163649,416484.262922428
10282,1976,CA,NPS,YNP,000000000000YV22, ,,,,0,8.6979256,,,,1195.00410645068,56388.5259749869
10283,1976,CA,NPS,YNP,000000000000YV19, ,,,,0,70.419746,,,,3663.89599906979,456472.736437343
10284,1976,CA,NPS,YNP,000000000000YV18, ,,,,0,83.804306,,,,4274.5224828884,543215.940209159
10285,1976,CA,NPS,YNP,000000000000YV17, ,,,,0,97.859573,,,,3924.94528103995,634232.345165269
10286,1976,CA,NPS,YNP,000000000000YV12, ,,,,0,54.878662,,,,2637.86456071571,355599.261203147
