PLOT,Fire_Year,SPECIES,MORT_DATE,DBH,CVS,FIRE_MORT_0_to_3_yr,POST_FIRE_BEETLE_MORT_5yr,N.neighbors.15m,N.neighbors.5m,N.conspecific.neighbors.15m,N.conspecific.neighbors.5m,Nearest.neighbor,HEGYI,BA.conspecifics.5m,BA.conspecifics.15m,BA.3m,BA.5m,BA.8m,BA.11m,BA.15m,BA.20m
CRCRPIPO,2009,ABCO,2010,14.6,100,1,NA,121,16,98,13,0.67,24.28992691,0.304,2.259,0.164,0.334,0.897,2.135,5.017,9.101
CRCRPIPO,2009,CADE,2010,1.1,100,1,NA,132,21,34,8,0.1,249.8842619,0.047,1.538,0.028,0.074,0.342,1.8,4.157,10.48
CRCRPIPO,2009,CADE,2010,1.4,100,1,NA,133,21,34,8,0.1,194.0840025,0.047,1.538,0.028,0.074,0.342,1.776,4.349,10.48
CRCRPIPO,2009,ABCO,2010,4.6,100,1,NA,127,16,22,1,0.24,53.47900939,0.004,0.203,0.042,0.155,0.922,2.055,4.639,9.956
CRCRPIPO,2009,ABCO,2010,20.7,100,1,NA,143,19,130,17,0.57,18.25529086,0.132,2.93,0.158,0.252,2.648,4.349,5.997,11.39
CRCRPIPO,2009,ABCO,2018,47.1,60,0,0,128,19,92,14,0.89,7.299463714,0.316,3.519,0.142,0.559,2.008,2.707,4.525,8.627
CRCRPIPO,2009,ABCO,2010,1.4,100,1,NA,75,5,24,2,2.34,201.1288905,0.042,0.281,0.024,0.067,1.293,2.351,4.118,9.724
CRCRPIPO,2009,ABCO,2010,2.8,100,1,NA,326,27,182,11,0.47,121.9636483,0.011,2.224,0.052,0.068,0.618,1.434,5.581,9.073
CRCRPIPO,2009,PINUS,2010,1,100,1,NA,324,59,74,19,0.33,368.7580971,0.113,1.385,0.086,0.398,0.889,2.306,3.899,9.772
CRCRPIPO,2009,CADE,2010,1,100,1,NA,125,9,17,2,0.75,326.0138871,0.238,2.845,1.292,1.61,2.6,5.073,8.213,13.665
CRCRPIPO,2009,ABCO,2010,1.2,100,1,NA,129,15,110,11,0.19,310.0507916,0.14,2.518,0.096,1.718,3.12,3.934,7.996,11.9
CRCRPIPO,2009,ABCO,2010,17,100,1,NA,96,11,78,8,0.81,20.45882339,0.165,2.208,0.012,1.342,1.896,2.66,5.911,10.355
CRCRPIPO,2009,CADE,2010,31.7,100,1,NA,104,11,50,1,2.01,8.663669803,0.056,1.177,0,0.365,0.655,1.351,3.37,7.204
CRCRPIPO,2009,ABCO,2010,1,100,1,NA,296,48,167,40,0.23,372.1337334,0.054,0.241,0.12,0.53,1.606,2.467,4.678,9.235
CRCRPIPO,2009,ABCO,2010,3.2,100,1,NA,243,30,96,16,0.99,90.27955774,0.025,2.122,0.04,0.07,1.987,3.249,4.418,7.439
CRCRPIPO,2009,ABCO,2010,2,100,1,NA,261,27,113,15,0.44,144.7675777,0.025,2.141,0.036,0.063,1.51,3.194,4.519,7.385
CRCRPIPO,2009,ABCO,2010,1.2,100,1,NA,294,70,167,56,0.23,310.4229491,0.064,0.235,0.198,0.752,1.357,2.403,4.43,8.34
CRCRPIPO,2009,ABCO,2010,2.9,100,1,NA,219,33,87,12,0.46,105.0261625,0.506,2.109,0.18,0.795,1.586,3.146,4.561,7.92
CRCRPIPO,2009,ABCO,2010,1.8,100,1,NA,213,28,85,10,0.33,167.9535213,0.007,2.11,0.175,0.278,1.579,2.675,5.096,8.194
CRCRPIPO,2009,ABCO,2010,1.4,100,1,NA,193,13,89,2,0.9,200.1922811,0.001,0.138,0.075,0.339,1.88,2.689,4.116,8.456
CRCRPIPO,2009,ABCO,2010,1.7,100,1,NA,137,28,37,6,0.24,161.6743099,0.003,1.304,0.032,0.163,0.299,1.265,3.879,10.634
CRCRPIPO,2009,ABCO,2010,1.9,100,1,NA,92,4,6,0,1.06,194.2862851,0,0.764,0.048,0.063,1.259,3.104,7.955,15.685
CRCRPIPO,2009,ABCO,2010,1.5,100,1,NA,296,72,170,61,0.69,252.5845956,0.069,0.238,0.145,0.418,1.411,2.614,5.061,8.358
CRCRPIPO,2009,ABCO,2010,1.8,100,1,NA,254,29,110,15,0.44,158.0500754,0.025,2.138,0.031,0.091,1.506,3.239,4.509,7.336
CRCRPIPO,2009,ABCO,2010,1.3,100,1,NA,268,31,155,19,0.66,275.5010651,0.032,1.901,0.312,0.703,1.304,2.165,5.953,9.581
CRCRPIPO,2009,ABCO,2010,1.5,100,1,NA,251,34,151,19,0.47,243.976428,0.031,1.268,0.365,0.706,1.509,2.594,5.236,9.47
CRCRPIPO,2009,ABCO,2010,1.3,100,1,NA,128,26,35,5,0.76,230.1938288,0.083,0.882,0.093,0.229,0.959,1.939,5.557,10.94
